Author	Compression	Variable	Default/all timestep(s)	Config Short	Version of compression-recommendations	Configuration	[opt] Throughput Compression [GB/s], measured relative to the original size	[opt] Throughput Decompression [GB/s], measured relative to the original size
@Lagnajee	44.10	all 16 pressure-level variables	default	per-variable best codec (SPERR / SZ3 / PwRatio / FixedScaleOffset grid, + LZMA); see https://raw.githubusercontent.com/Lagnajee/compression-hackathon-solutions/main/results/era5_pressure_configs.json	0.1.0a1	"{'cc': {'id': 'combinators.stack', 'codecs': [{'id': 'safeguards', 'codec': {'id': 'zero'}, 'safeguards': [{'kind': 'any', 'safeguards': [{'kind': 'all', 'safeguards': [{'kind': 'eb', 'type': 'rel', 'eb': 0.01, 'equal_nan': False}]}]}, {'kind': 'all', 'safeguards': [{'kind': 'all', 'safeguards': [{'kind': 'qoi_eb_pw', 'qoi': 'x >= c[""minimum""]', 'type': 'abs', 'eb': 0, 'qoi_dtype': 'lossless', 'early_bound': {'minimum': 0.0}}, {'kind': 'qoi_eb_pw', 'qoi': 'x <= c[""maximum""]', 'type': 'abs', 'eb': 0, 'qoi_dtype': 'lossless', 'early_bound': {'maximum': 1.0}}]}]}], 'fixed_constants': {}, 'lossless': {'for_codec': None, 'for_corrections': {'id': 'combinators.best', 'codecs': [{'id': 'combinators.stack', 'codecs': [{'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': [{'id': 'zstd', 'level': 3, 'checksum': False}]}]}, {'id': 'combinators.stack', 'codecs': [{'id': 'delta.binary'}, {'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': [{'id': 'zstd', 'level': 3, 'checksum': False}]}]}]}}, 'compute': {'unstable_iterative': False, 'unstable_lossless_corrections': False}, '_version': '1.0.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None}]}, 'ciwc': {'id': 'combinators.stack', 'codecs': [{'id': 'pw_ratio', 'eb_ratio': 1.01, 'eb_abs_marker': '$eb_abs', 'log_codec': {'id': 'fixedscaleoffset', 'scale': 34.83384183097051, 'offset': 0, 'dtype': '<f8', 'astype': '<i2'}, 'sign_codec': {'id': 'zstd.rs', 'level': 19, '_version': '0.1.0'}}, {'id': 'lzma', 'format': 3, 'check': -1, 'preset': None, 'filters': [{'id': 3, 'dist': 2}, {'id': 33, 'preset': 2147483657, 'lc': 3, 'lp': 1, 'pb': 1}]}]}, 'clwc': {'id': 'combinators.stack', 'codecs': [{'id': 'pw_ratio', 'eb_ratio': 1.01, 'eb_abs_marker': '$eb_abs', 'log_codec': {'id': 'fixedscaleoffset', 'scale': 34.83384183097051, 'offset': 0, 'dtype': '<f8', 'astype': '<i2'}, 'sign_codec': {'id': 'zstd.rs', 'level': 19, '_version': '0.1.0'}}, {'id': 'lzma', 'format': 3, 'check': -1, 'preset': None, 'filters': [{'id': 3, 'dist': 2}, {'id': 33, 'preset': 2147483657, 'lc': 3, 'lp': 1, 'pb': 1}]}]}, 'crwc': {'id': 'combinators.stack', 'codecs': [{'id': 'safeguards', 'codec': {'id': 'zero'}, 'safeguards': [{'kind': 'any', 'safeguards': [{'kind': 'all', 'safeguards': [{'kind': 'eb', 'type': 'rel', 'eb': 0.01, 'equal_nan': False}]}]}, {'kind': 'all', 'safeguards': [{'kind': 'qoi_eb_pw', 'qoi': 'x >= c[""minimum""]', 'type': 'abs', 'eb': 0, 'qoi_dtype': 'lossless', 'early_bound': {'minimum': 0.0}}]}], 'fixed_constants': {}, 'lossless': {'for_codec': None, 'for_corrections': {'id': 'combinators.best', 'codecs': [{'id': 'combinators.stack', 'codecs': [{'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': [{'id': 'zstd', 'level': 3, 'checksum': False}]}]}, {'id': 'combinators.stack', 'codecs': [{'id': 'delta.binary'}, {'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': [{'id': 'zstd', 'level': 3, 'checksum': False}]}]}]}}, 'compute': {'unstable_iterative': False, 'unstable_lossless_corrections': False}, '_version': '1.0.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None}]}, 'cswc': {'id': 'combinators.stack', 'codecs': [{'id': 'pw_ratio', 'eb_ratio': 1.01, 'eb_abs_marker': '$eb_abs', 'log_codec': {'id': 'fixedscaleoffset', 'scale': 34.83384183097051, 'offset': 0, 'dtype': '<f8', 'astype': '<i2'}, 'sign_codec': {'id': 'zstd.rs', 'level': 19, '_version': '0.1.0'}}, {'id': 'lzma', 'format': 3, 'check': -1, 'preset': None, 'filters': [{'id': 3, 'dist': 2}, {'id': 33, 'preset': 2147483657, 'lc': 1, 'lp': 1, 'pb': 1}]}]}, 'd': {'id': 'combinators.stack', 'codecs': [{'id': 'pw_ratio', 'eb_ratio': 1.05, 'eb_abs_marker': '$eb_abs', 'log_codec': {'id': 'fixedscaleoffset', 'scale': 7.104059947439975, 'offset': 0, 'dtype': '<f8', 'astype': '<i2'}, 'sign_codec': {'id': 'zstd.rs', 'level': 19, '_version': '0.1.0'}}, {'id': 'lzma', 'format': 3, 'check': -1, 'preset': None, 'filters': [{'id': 3, 'dist': 2}, {'id': 33, 'preset': 2147483657, 'lc': 0, 'lp': 1, 'pb': 1}]}]}, 'o3': {'id': 'combinators.stack', 'codecs': [{'id': 'pw_ratio', 'eb_ratio': 1.01, 'eb_abs_marker': '$eb_abs', 'log_codec': {'id': 'sperr.rs', 'mode': 'pwe', 'pwe': '$eb_abs', '_version': '0.2.0'}, 'sign_codec': {'id': 'zstd.rs', 'level': 19, '_version': '0.1.0'}}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None}]}, 'pv': {'id': 'combinators.stack', 'codecs': [{'id': 'safeguards', 'codec': {'id': 'sperr.rs', 'mode': 'q', 'q': 3e-07, '_version': '0.2.0'}, 'safeguards': [{'kind': 'any', 'safeguards': [{'kind': 'all', 'safeguards': [{'kind': 'eb', 'type': 'abs', 'eb': 1e-07, 'equal_nan': False}]}, {'kind': 'all', 'safeguards': [{'kind': 'eb', 'type': 'rel', 'eb': 0.1, 'equal_nan': False}]}]}], 'fixed_constants': {}, 'lossless': {'for_codec': None, 'for_corrections': {'id': 'combinators.best', 'codecs': [{'id': 'combinators.stack', 'codecs': [{'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': [{'id': 'zstd', 'level': 3, 'checksum': False}]}]}, {'id': 'combinators.stack', 'codecs': [{'id': 'delta.binary'}, {'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': [{'id': 'zstd', 'level': 3, 'checksum': False}]}]}]}}, 'compute': {'unstable_iterative': False, 'unstable_lossless_corrections': False}, '_version': '1.0.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None}]}, 'q': {'id': 'combinators.stack', 'codecs': [{'id': 'pw_ratio', 'eb_ratio': 1.01, 'eb_abs_marker': '$eb_abs', 'log_codec': {'id': 'sperr.rs', 'mode': 'pwe', 'pwe': '$eb_abs', '_version': '0.2.0'}, 'sign_codec': {'id': 'zstd.rs', 'level': 19, '_version': '0.1.0'}}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None}]}, 'r': {'id': 'combinators.stack', 'codecs': [{'id': 'pw_ratio', 'eb_ratio': 1.01, 'eb_abs_marker': '$eb_abs', 'log_codec': {'id': 'sperr.rs', 'mode': 'pwe', 'pwe': '$eb_abs', '_version': '0.2.0'}, 'sign_codec': {'id': 'zstd.rs', 'level': 19, '_version': '0.1.0'}}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None}]}, 't': {'id': 'combinators.stack', 'codecs': [{'id': 'pw_ratio', 'eb_ratio': 1.01, 'eb_abs_marker': '$eb_abs', 'log_codec': {'id': 'sperr.rs', 'mode': 'pwe', 'pwe': '$eb_abs', '_version': '0.2.0'}, 'sign_codec': {'id': 'zstd.rs', 'level': 19, '_version': '0.1.0'}}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None}]}, 'u': {'id': 'combinators.stack', 'codecs': [{'id': 'safeguards', 'codec': {'id': 'sperr.rs', 'mode': 'pwe', 'pwe': 0.75, '_version': '0.2.0'}, 'safeguards': [{'kind': 'any', 'safeguards': [{'kind': 'all', 'safeguards': [{'kind': 'eb', 'type': 'abs', 'eb': 0.5, 'equal_nan': False}]}]}], 'fixed_constants': {}, 'lossless': {'for_codec': None, 'for_corrections': {'id': 'combinators.best', 'codecs': [{'id': 'combinators.stack', 'codecs': [{'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': [{'id': 'zstd', 'level': 3, 'checksum': False}]}]}, {'id': 'combinators.stack', 'codecs': [{'id': 'delta.binary'}, {'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': [{'id': 'zstd', 'level': 3, 'checksum': False}]}]}]}}, 'compute': {'unstable_iterative': False, 'unstable_lossless_corrections': False}, '_version': '1.0.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None}]}, 'v': {'id': 'combinators.stack', 'codecs': [{'id': 'safeguards', 'codec': {'id': 'sperr.rs', 'mode': 'pwe', 'pwe': 0.75, '_version': '0.2.0'}, 'safeguards': [{'kind': 'any', 'safeguards': [{'kind': 'all', 'safeguards': [{'kind': 'eb', 'type': 'abs', 'eb': 0.5, 'equal_nan': False}]}]}], 'fixed_constants': {}, 'lossless': {'for_codec': None, 'for_corrections': {'id': 'combinators.best', 'codecs': [{'id': 'combinators.stack', 'codecs': [{'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': [{'id': 'zstd', 'level': 3, 'checksum': False}]}]}, {'id': 'combinators.stack', 'codecs': [{'id': 'delta.binary'}, {'id': 'tokenize'}, {'id': 'bitmap-index', 'max_bitmaps': 1, 'cost_factor': 1}, {'id': 'shuffle.typed-byte'}, {'id': 'combinators.framed', 'codecs': [{'id': 'zstd', 'level': 3, 'checksum': False}]}]}]}}, 'compute': {'unstable_iterative': False, 'unstable_lossless_corrections': False}, '_version': '1.0.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None}]}, 'vo': {'id': 'combinators.stack', 'codecs': [{'id': 'pw_ratio', 'eb_ratio': 1.05, 'eb_abs_marker': '$eb_abs', 'log_codec': {'id': 'fixedscaleoffset', 'scale': 7.104059947439975, 'offset': 0, 'dtype': '<f8', 'astype': '<i2'}, 'sign_codec': {'id': 'zstd.rs', 'level': 19, '_version': '0.1.0'}}, {'id': 'lzma', 'format': 3, 'check': -1, 'preset': None, 'filters': [{'id': 3, 'dist': 2}, {'id': 33, 'preset': 2147483657, 'lc': 3, 'lp': 1, 'pb': 1}]}]}, 'w': {'id': 'combinators.stack', 'codecs': [{'id': 'sperr.rs', 'mode': 'pwe', 'pwe': 0.01, '_version': '0.2.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None}]}, 'z': {'id': 'combinators.stack', 'codecs': [{'id': 'sperr.rs', 'mode': 'pwe', 'pwe': 10.0, '_version': '0.2.0'}, {'id': 'lzma', 'format': 1, 'check': -1, 'preset': 2147483657, 'filters': None}]}}"	0.0051	0.0825
@Lagnajee	43.58	all 226 single-level variables	default	per-variable best codec (SPERR / SZ3 / PwRatio / FixedScaleOffset grid, + LZMA); see https://raw.githubusercontent.com/Lagnajee/compression-hackathon-solutions/main/results/era5_single_configs.json	0.1.0a1	per-variable configs (too large for one cell): https://raw.githubusercontent.com/Lagnajee/compression-hackathon-solutions/main/results/era5_single_configs.json	0.0166	0.3729
