key,rmse,std,rmse_over_std,distinct_in,distinct_out
single/tvh,0.0,5.12865213,0.0,7,7
single/tvl,0.0,3.5742589,0.0,10,10
single/u10n,0.01153918,5.32842833,0.0022,34167,1109
single/ust,0.00806379,0.09591894,0.0841,28791,34
single/uvb,4156.17559784,104090.83701543,0.0399,53869,23
single/v10n,0.01152758,4.8153554,0.0024,33076,986
single/vimd,0.00536318,0.85204835,0.0063,6938,1273
single/vst,0.01145703,0.08392296,0.1365,16084,26
single/wdw,0.00807268,0.17660003,0.0457,25464,38
single/wind,0.0112553,3.50623841,0.0032,28723,530
single/wmb,0.08920616,293.73824348,0.0003,988,988
single/wsk,0.00101195,0.01101358,0.0919,4385,96
single/wsp,0.04203356,1.1890966,0.0353,10224,66
single/wss,0.00030444,0.01256885,0.0242,27606,114
single/wstar,0.01017494,0.42489031,0.0239,23328,63
single/z,4.59931567,8350.70870813,0.0006,385622,2754
single/zust,0.00305742,0.15738978,0.0194,31504,138
