# machine: x86_64, 24 logical CPUs, python 3.14.7, 4 concurrent workers, median of 3 runs after warm-up
key,raw_bytes,compressed_bytes,encode_s,decode_s,compression_gb_per_s,decompression_gb_per_s
single/dndzn,8305920,165416,0.5046,0.0158,0.01646,0.5242
single/dwi,2079360,137427,0.2432,0.0076,0.00855,0.2732
single/dwps,2079360,47599,0.1481,0.0038,0.01404,0.54726
single/dwww,2079360,67276,0.1265,0.0046,0.01643,0.45374
single/e,8305920,356362,0.7703,0.0169,0.01078,0.4917
single/es,8305920,11580,0.163,0.0066,0.05095,1.26774
single/ewss,8305920,73628,0.5275,0.0099,0.01574,0.84096
single/fal,8305920,45654,0.4352,0.0088,0.01908,0.94766
single/fdir,8305920,137662,0.2979,0.01,0.02788,0.83138
single/flsr,8305920,164535,0.6188,0.0154,0.01342,0.5404
single/fsr,8305920,138186,0.6075,0.017,0.01367,0.48932
single/gwd,8305920,36050,0.8241,0.0222,0.01008,0.37418
single/hcc,8305920,261580,0.6368,0.0189,0.01304,0.43873
single/hmax,2079360,67447,0.2467,0.0054,0.00843,0.3835
single/i10fg,8305920,725296,0.6427,0.0274,0.01292,0.30312
single/ie,8305920,351830,0.7748,0.0171,0.01072,0.48604
single/iews,8305920,395494,0.9039,0.019,0.00919,0.43698
single/ilspf,8305920,306819,0.366,0.0193,0.02269,0.43079
single/inss,8305920,393435,2.0573,0.0238,0.00404,0.3486
single/ishf,8305920,665770,2.2869,0.0322,0.00363,0.25767
single/isor,8305920,143833,4.6453,0.0524,0.00179,0.15856
single/istl1,8305920,4596,2.586,0.0751,0.00321,0.11058
single/istl2,8305920,4108,2.5456,0.0554,0.00326,0.14996
single/istl3,8305920,2855,2.2613,0.0634,0.00367,0.13102
single/istl4,8305920,17137,0.2288,0.0156,0.0363,0.53345
single/kx,8305920,437869,1.3998,0.0278,0.00593,0.29835
single/lai_hv,8305920,103664,0.4114,0.0163,0.02019,0.50818
single/lai_lv,8305920,128662,0.3573,0.0123,0.02325,0.67341
single/lblt,8305920,24626,0.3684,0.0104,0.02255,0.79628
single/lcc,8305920,352345,0.6161,0.0212,0.01348,0.39167
single/lgws,8305920,46775,0.7157,0.0251,0.01161,0.33135
single/licd,8305920,15643,0.1915,0.0102,0.04338,0.81106
single/lict,8305920,4983,0.2573,0.0273,0.03228,0.30472
single/lmld,8305920,131730,0.4615,0.0108,0.018,0.76673
single/lmlt,8305920,17163,0.3577,0.0112,0.02322,0.74137
single/lsf,8305920,3823,0.1467,0.0096,0.05663,0.86695
single/lshf,8305920,59958,0.3563,0.0082,0.02331,1.01392
